id;name;price;category_id;seller_id;short_description;full_description
1;Smartphone X;499.99;1;3;5.8 inch screen, 12 MP camera;The Smartphone X features a stunning 5.8 inch OLED screen, 12 MP camera, and the latest version of the operating system. It's a great choice for anyone looking for a powerful, high-end smartphone.
2;Laptop Y;799.99;2;3;15.6 inch screen, 8 GB RAM;The Laptop Y is a sleek and powerful machine with a 15.6 inch screen, 8 GB of RAM, and an Intel Core i7 processor. It's perfect for both work and play.
3;Tablet Z;299.99;1;3;10.1 inch screen, 32 GB storage;The Tablet Z is a lightweight and portable device with a 10.1 inch screen and 32 GB of storage. It's great for browsing the web, streaming movies, or playing games on the go.
4;Smart Watch A;199.99;2;3;Heart rate monitor, Bluetooth connectivity;The Smart Watch A is a stylish and feature-packed device with a heart rate monitor, Bluetooth connectivity, and a long battery life. It's the perfect accessory for anyone looking to stay connected on the go.
5;Headphones B;99.99;1;3;Noise-cancelling, over-ear design;The Headphones B feature a comfortable over-ear design and noise-cancelling technology, making them the perfect choice for audiophiles who want to enjoy their music without distractions.
6;Speaker C;79.99;2;3;Portable, waterproof;The Speaker C is a portable and waterproof speaker that's perfect for outdoor adventures or pool parties. It delivers high-quality sound and has a long battery life.
7;Camera D;499.99;1;3;20 MP sensor, 4K video;The Camera D is a professional-grade camera with a 20 MP sensor and the ability to shoot 4K video. It's perfect for photographers and videographers who demand the best quality from their equipment.
8;Gaming Console E;399.99;2;3;4K graphics, wireless controller;The Gaming Console E delivers stunning 4K graphics and comes with a wireless controller for a seamless gaming experience. It's a must-have for anyone who loves gaming.
9;VR Headset F;499.99;1;3;360-degree viewing, immersive experience;The VR Headset F delivers a truly immersive experience with its 360-degree viewing capabilities. It's perfect for gamers or anyone looking to explore virtual reality.
10;Drone G;799.99;2;3;4K camera, GPS;The Drone G is a high-end drone with a 4K camera and GPS capabilities. It's perfect for photographers or anyone looking to capture stunning aerial footage.
11;Fitness Tracker H;129.99;1;3;Heart rate monitor, step counter;The Fitness Tracker H is a must-have for anyone who wants to stay on top of their fitness goals. It features a heart rate monitor and step counter, as well as a long battery life.
12;Smart Home I;99.99;2;3;Voice control, smart hub;The Smart Home I is a versatile device that acts as a smart hub for your home. It's compatible with voice assistants and allows you to control your smart devices from a single app.
