id;product_id;author;content;rating
1;45;John;"Great product! Highly recommended.";5
2;78;Emily;"This product exceeded my expectations.";4
3;23;Michael;"I'm very happy with my purchase.";5
4;91;Samantha;"The quality of this product is amazing.";5
5;12;David;"It's a decent product for the price.";3
6;57;Lisa;"I had some issues with this product; but customer support was helpful.";2
7;83;Chris;"The product arrived on time and in good condition.";4
8;14;Michelle;"This is exactly what I was looking for.";5
9;31;Robert;"I don't think this product is worth the price.";2
10;72;Elizabeth;"The product works great and looks stylish too.";5
11;39;James;"I had some difficulties setting up this product.";3
12;61;Olivia;"I received the wrong product; but the seller quickly resolved the issue.";4
13;22;Alexander;"The product feels cheaply made.";2
14;94;Isabella;"I'm satisfied with my purchase.";4
15;16;Sophia;"This product arrived damaged.";1
16;50;William;"I would buy this product again in a heartbeat.";5
17;67;Ava;"The product doesn't match the description.";2
18;10;Ethan;"This product is a great value for the price.";4
19;87;Emma;"I wish the product had more features.";3
20;1;Daniel;"I'm disappointed with the quality of this product.";2
